attacker,defender,best_move,damage_pct,reverse_move,reverse_pct,speed_advantage,old_score,offense_score,defense_score,speed_score,typing_score,movepool_score,mega_score,efficiency,meta_weight,is_meta,is_ohko,is_2hko,coverage_depth,survival_margin,trick_room_favor,priority_net,coverage_types,status_threat_net,setup_potential_net
Venusaur,Charizard,Hyper Beam,68.6,Heat Wave,120,0,-0.51,-0.243,-0.302,-0.160,-0.308,0.070,0.000,-0.204,0.353,1,0,1,0.000,-0.200,0.000,0.000,0.600,0.300,-0.200
Venusaur,Blastoise,Frenzy Plant,171.4,Water Spout,40,0,1.31,0.850,0.253,-0.181,0.542,0.125,0.000,0.349,0.02,1,1,1,0.500,0.600,-0.300,-0.500,0.600,0.000,0.500
Venusaur,Beedrill,Hyper Beam,78.6,Giga Impact,65.2,0,0.13,-0.176,-0.029,-0.057,-0.383,0.120,0.000,-0.098,0.05,0,0,1,0.000,0.348,-0.300,0.000,0.600,0.300,0.000
Venusaur,Pidgeot,Hyper Beam,76.6,Sky Attack,170.3,0,-0.94,-0.189,-0.660,-0.213,-0.308,-0.000,0.000,-0.295,0.05,0,0,1,0.000,-0.703,0.000,0.000,0.600,0.300,-0.200
Venusaur,Arbok,Hyper Beam,82.2,Gunk Shot,81.3,0,0.01,-0.152,-0.126,0.000,-0.383,-0.070,0.000,-0.122,0.05,0,0,1,0.000,0.187,0.000,0.000,0.600,0.000,0.000
Venusaur,Pikachu,Frenzy Plant,210.9,Mega Kick,39.4,0,1.72,0.700,0.201,-0.133,0.308,-0.145,0.000,0.25,0.05,0,1,1,0.000,0.606,0.000,0.000,0.600,-0.500,0.500
Venusaur,Raichu,Frenzy Plant,122.2,Fake Out,18.1,0,1.04,0.515,0.328,-0.392,0.308,-0.005,0.000,0.188,0.02,1,1,1,0.000,0.819,0.000,-0.500,0.600,-0.500,0.500
Venusaur,Raichu-Alola,Frenzy Plant,116.3,Psychic,104.5,0,0.12,0.075,-0.134,-0.292,-0.158,-0.270,0.000,-0.112,0.05,0,0,1,0.000,-0.045,0.000,0.000,0.600,-0.500,0.000
Venusaur,Clefable,Sludge Wave,112.9,Future Sight,91.6,0.19999999999999996,0.27,0.128,-0.056,0.048,0.542,-0.150,0.000,0.073,0.078,1,0,1,0.250,0.084,-0.300,0.000,0.600,-0.500,0.200
Venusaur,Ninetales,Hyper Beam,62.2,Overheat,135.5,0,-0.73,-0.285,-0.395,-0.160,-0.308,-0.130,0.000,-0.26,0.05,0,0,1,0.000,-0.355,0.000,0.000,0.600,-0.200,-0.200
Venusaur,Ninetales-Alola,Sludge Wave,118.9,Ice Beam,94.2,0,0.25,0.568,-0.072,-0.255,0.075,-0.100,0.000,0.099,0.078,1,1,1,0.250,0.058,0.000,0.000,0.600,-0.200,0.200
Venusaur,Arcanine,Hyper Beam,66.7,Flare Blitz,179.4,0,-1.13,-0.255,-0.714,-0.120,-0.308,0.140,0.000,-0.296,0.02,1,0,1,0.000,-0.794,0.000,0.000,0.600,0.300,-0.200
Venusaur,Arcanine-Hisui,Frenzy Plant,97.1,Flare Blitz,183.2,0,-0.86,-0.053,-0.737,-0.240,-0.308,0.070,0.000,-0.272,0.059,1,0,1,0.000,-0.832,0.000,-0.800,0.600,0.300,-0.200
Venusaur,Alakazam,Frenzy Plant,110.8,Future Sight,174.2,0,-0.63,0.039,-0.627,-0.380,-0.233,-0.230,0.000,-0.267,0.05,0,0,1,0.000,-0.742,0.000,0.000,0.600,-0.400,0.000
Venusaur,Machamp,Frenzy Plant,95.2,Giga Impact,83.9,0.19999999999999996,0.17,-0.065,-0.066,0.125,0.308,0.040,0.000,0.024,0.05,0,0,1,0.000,0.161,-0.300,0.000,0.600,0.100,0.000
Venusaur,Victreebel,Hyper Beam,78.1,Giga Impact,72.3,0,0.06,-0.179,0.003,0.005,0.000,-0.200,0.000,-0.072,0.05,0,0,1,0.000,0.277,-0.300,0.000,0.600,-0.500,0.000
Venusaur,Slowbro,Frenzy Plant,194.1,Future Sight,143.2,0.7,0.72,0.850,-0.366,0.250,0.075,-0.190,0.000,0.202,0.05,0,1,1,0.500,-0.432,-0.300,0.000,0.600,-0.300,0.000
Venusaur,Slowbro-Galar,Hyper Beam,71.2,Future Sight,92.9,0.7,-0.01,-0.225,-0.139,0.250,-0.617,-0.190,0.000,-0.133,0.05,0,0,1,0.000,0.071,-0.300,0.000,0.600,-0.300,0.000
Venusaur,Gengar,Frenzy Plant,63.7,Sludge Bomb,63.9,0,0,-0.275,0.035,-0.315,-0.383,-0.130,0.000,-0.188,0.216,1,0,1,0.000,0.361,0.000,0.000,0.600,-0.500,0.000
Venusaur,Kangaskhan,Frenzy Plant,91.7,Double-Edge,81.3,0,0.1,-0.089,-0.126,-0.203,0.000,0.170,0.000,-0.082,0.078,1,0,1,0.000,0.187,0.000,-0.500,0.600,0.300,0.200
Venusaur,Starmie,Frenzy Plant,232.6,Psycho Cut,51.6,0,1.81,0.850,0.127,-0.455,0.075,0.120,0.000,0.215,0.039,1,1,1,0.500,0.484,0.000,-0.500,0.600,0.000,0.200
Venusaur,Pinsir,Hyper Beam,86.4,Giga Impact,81.3,0,0.05,-0.124,-0.126,-0.040,-0.075,0.050,0.000,-0.079,0.05,0,0,1,0.000,0.187,0.000,0.000,0.600,0.300,0.000
Venusaur,Tauros,Frenzy Plant,120.7,Giga Impact,105.2,0,0.16,0.505,-0.269,-0.263,0.000,0.120,0.000,0.044,0.05,0,1,1,0.000,-0.052,0.000,0.000,0.600,0.300,0.000
Venusaur,Tauros-Paldea-Combat,Frenzy Plant,120.7,Giga Impact,74.8,0,0.46,0.505,-0.012,-0.160,0.308,0.100,0.000,0.157,0.05,0,1,1,0.000,0.252,0.000,0.000,0.600,0.300,0.200
Venusaur,Tauros-Paldea-Blaze,Hyper Beam,80.7,Flare Blitz,179.4,0,-0.99,-0.162,-0.639,-0.160,-0.233,-0.000,0.000,-0.264,0.05,0,0,1,0.000,-0.794,0.000,0.000,0.600,0.300,-0.200
Venusaur,Tauros-Paldea-Aqua,Frenzy Plant,241.3,Close Combat,44.5,0,1.97,0.850,0.245,-0.260,0.617,0.315,0.000,0.357,0.02,1,1,1,0.500,0.555,0.000,-0.500,0.600,0.300,0.500
Venusaur,Gyarados,Frenzy Plant,81.2,Bounce,139.4,0,-0.58,-0.159,-0.399,-0.045,-0.158,-0.200,0.000,-0.192,0.078,1,0,1,0.000,-0.394,0.000,0.000,0.600,-0.200,-0.200
Venusaur,Ditto,Frenzy Plant,193.5,Struggle,0,0.19999999999999996,2,0.700,0.362,0.181,0.000,0.455,0.000,0.382,0.05,0,1,1,0.000,1.000,-0.300,0.000,0.600,0.300,0.500
Venusaur,Vaporeon,Frenzy Plant,140.5,Ice Beam,76.1,0.19999999999999996,0.7,0.787,0.037,0.022,0.542,-0.020,0.000,0.302,0.05,0,1,1,0.500,0.239,-0.300,0.000,0.600,0.000,0.200
Venusaur,Jolteon,Frenzy Plant,102.9,Hyper Beam,63.2,0,0.4,-0.014,0.114,-0.438,0.308,-0.140,0.000,-0.046,0.05,0,0,1,0.000,0.368,0.000,0.000,0.600,-0.300,0.200
Venusaur,Flareon,Hyper Beam,60.7,Flare Blitz,201.3,0.19999999999999996,-1.35,-0.295,-0.838,0.045,-0.308,-0.120,0.000,-0.332,0.05,0,0,1,0.000,-1.000,-0.300,0.000,0.600,0.000,-0.200
Venusaur,Aerodactyl,Frenzy Plant,111,Dual Wingbeat,59.4,0,0.52,0.040,0.006,-0.445,-0.308,0.160,0.000,-0.09,0.314,1,0,1,0.000,0.406,0.000,0.000,0.600,0.100,0.200
Venusaur,Snorlax,Frenzy Plant,54,Body Slam,63.9,0.7,0.11,-0.640,-0.021,0.302,0.000,-0.010,0.000,-0.138,0.02,1,0,0,0.000,0.361,-0.300,0.000,0.600,-0.200,0.000
Venusaur,Dragonite,Hyper Beam,27.7,Hurricane,85.2,0,-0.57,-0.815,-0.093,-0.235,-0.308,-0.075,0.000,-0.353,0.235,1,0,0,0.000,0.148,0.000,-0.800,0.600,0.000,-0.300
Venusaur,Meganium,Sludge Wave,113.5,Hyper Beam,52.9,0,0.61,0.132,0.176,0.000,0.700,0.090,0.000,0.162,0.118,1,0,1,0.250,0.471,0.000,0.000,0.600,0.100,0.200
Venusaur,Typhlosion,Hyper Beam,68.6,Eruption,187.1,0,-1.18,-0.243,-0.704,-0.160,-0.308,0.070,0.000,-0.305,0.05,0,0,1,0.000,-0.871,0.000,0.000,0.600,0.300,-0.200
Venusaur,Typhlosion-Hisui,Frenzy Plant,52.7,Eruption,198.7,0,-1.46,-0.649,-0.774,-0.120,-0.617,0.140,0.000,-0.46,0.059,1,0,0,0.000,-0.987,0.000,0.000,0.600,0.300,-0.200
Venusaur,Feraligatr,Frenzy Plant,198.8,Double-Edge,75.5,0,1.23,0.850,-0.016,-0.081,0.542,0.240,0.000,0.313,0.02,1,1,1,0.500,0.245,-0.300,0.000,0.600,0.300,0.200
Venusaur,Ariados,Hyper Beam,83.4,Megahorn,78.1,0.7,0.26,-0.144,-0.107,0.123,-0.383,0.120,0.000,-0.072,0.05,0,0,1,0.000,0.219,-0.300,-0.500,0.600,0.300,0.000
Venusaur,Ampharos,Frenzy Plant,90.9,Hyper Beam,65.2,0.19999999999999996,0.32,-0.094,0.102,0.087,0.308,-0.070,0.000,0.039,0.05,0,0,1,0.000,0.348,-0.300,0.000,0.600,0.000,0.000
Venusaur,Azumarill,Frenzy Plant,188.6,Play Rough,23.9,0.19999999999999996,1.71,0.925,0.369,0.042,0.617,0.115,0.000,0.451,0.02,1,1,1,0.750,0.761,-0.300,-0.500,0.600,-0.200,0.500
Venusaur,Politoed,Frenzy Plant,167.3,Hyper Beam,55.5,0,1.12,0.850,0.160,-0.017,0.542,-0.100,0.000,0.336,0.098,1,1,1,0.500,0.445,-0.300,0.000,0.600,-0.200,0.200
Venusaur,Espeon,Frenzy Plant,102.9,Future Sight,170.3,0,-0.67,-0.014,-0.603,-0.300,-0.233,-0.190,0.000,-0.257,0.05,0,0,1,0.000,-0.703,0.000,0.000,0.600,-0.300,0.000
Venusaur,Umbreon,Frenzy Plant,65.3,Last Resort,50.3,0.19999999999999996,0.21,-0.265,0.060,0.030,0.000,-0.270,0.000,-0.085,0.05,0,0,1,0.000,0.497,-0.300,0.000,0.600,-0.500,0.000
Venusaur,Slowking,Frenzy Plant,149.4,Future Sight,143.2,0.7,0.27,0.846,-0.366,0.250,0.075,-0.190,0.000,0.201,0.05,0,1,1,0.500,-0.432,-0.300,0.000,0.600,-0.300,0.000
Venusaur,Slowking-Galar,Hyper Beam,50,Future Sight,152.3,0.7,-0.81,-0.667,-0.495,0.250,-0.617,-0.240,0.000,-0.36,0.05,0,0,0,0.000,-0.523,-0.300,0.000,0.600,-0.300,-0.200
Venusaur,Forretress,Hyper Beam,45.3,Explosion,108.4,0.7,-0.42,-0.698,-0.288,0.230,-0.692,-0.125,0.000,-0.317,0.05,0,0,0,0.000,-0.084,-0.300,0.000,0.600,0.000,-0.500
Venusaur,Steelix,Frenzy Plant,128,Self-Destruct,83.9,0.7,0.65,0.553,-0.141,0.325,-0.150,0.020,0.000,0.183,0.05,0,1,1,0.000,0.161,-0.300,0.000,0.600,0.100,0.200
Venusaur,Scizor,Hyper Beam,37.9,Bug Bite,76.1,0.19999999999999996,-0.32,-0.747,-0.095,-0.100,-0.692,0.115,0.000,-0.326,0.078,1,0,0,0.000,0.239,-0.300,-0.500,0.600,0.300,-0.300
Venusaur,Heracross,Hyper Beam,61.9,Megahorn,97.4,0,-0.36,-0.287,-0.147,-0.040,0.000,0.120,0.000,-0.119,0.05,0,0,1,0.000,0.026,0.000,0.000,0.600,0.300,0.000
