attacker,defender,best_move,damage_pct,reverse_move,reverse_pct,speed_advantage,score
Venusaur,Charizard,Hyper Beam,68.6,Heat Wave,120,0,-0.51
Venusaur,Blastoise,Frenzy Plant,171.4,Water Spout,40,0,1.31
Venusaur,Beedrill,Hyper Beam,78.6,Giga Impact,65.2,0,0.13
Venusaur,Pidgeot,Hyper Beam,76.6,Sky Attack,170.3,0,-0.94
Venusaur,Arbok,Hyper Beam,82.2,Gunk Shot,81.3,0,0.01
Venusaur,Pikachu,Frenzy Plant,210.9,Mega Kick,39.4,0,1.72
Venusaur,Raichu,Frenzy Plant,122.2,Fake Out,18.1,0,1.04
Venusaur,Raichu-Alola,Frenzy Plant,116.3,Psychic,104.5,0,0.12
Venusaur,Clefable,Sludge Wave,112.9,Future Sight,91.6,0.19999999999999996,0.27
Venusaur,Ninetales,Hyper Beam,62.2,Overheat,135.5,0,-0.73
Venusaur,Ninetales-Alola,Sludge Wave,118.9,Ice Beam,94.2,0,0.25
Venusaur,Arcanine,Hyper Beam,66.7,Flare Blitz,179.4,0,-1.13
Venusaur,Arcanine-Hisui,Frenzy Plant,97.1,Flare Blitz,183.2,0,-0.86
Venusaur,Alakazam,Frenzy Plant,110.8,Future Sight,174.2,0,-0.63
Venusaur,Machamp,Frenzy Plant,95.2,Giga Impact,83.9,0.19999999999999996,0.17
Venusaur,Victreebel,Hyper Beam,78.1,Giga Impact,72.3,0,0.06
Venusaur,Slowbro,Frenzy Plant,194.1,Future Sight,143.2,0.7,0.72
Venusaur,Slowbro-Galar,Hyper Beam,71.2,Future Sight,92.9,0.7,-0.01
Venusaur,Gengar,Frenzy Plant,63.7,Sludge Bomb,63.9,0,0
Venusaur,Kangaskhan,Frenzy Plant,91.7,Double-Edge,81.3,0,0.1
Venusaur,Starmie,Frenzy Plant,232.6,Psycho Cut,51.6,0,1.81
Venusaur,Pinsir,Hyper Beam,86.4,Giga Impact,81.3,0,0.05
Venusaur,Tauros,Frenzy Plant,120.7,Giga Impact,105.2,0,0.16
Venusaur,Tauros-Paldea-Combat,Frenzy Plant,120.7,Giga Impact,74.8,0,0.46
Venusaur,Tauros-Paldea-Blaze,Hyper Beam,80.7,Flare Blitz,179.4,0,-0.99
Venusaur,Tauros-Paldea-Aqua,Frenzy Plant,241.3,Close Combat,44.5,0,1.97
Venusaur,Gyarados,Frenzy Plant,81.2,Bounce,139.4,0,-0.58
Venusaur,Ditto,Frenzy Plant,193.5,Struggle,0,0.19999999999999996,2
Venusaur,Vaporeon,Frenzy Plant,140.5,Ice Beam,76.1,0.19999999999999996,0.7
Venusaur,Jolteon,Frenzy Plant,102.9,Hyper Beam,63.2,0,0.4
Venusaur,Flareon,Hyper Beam,60.7,Flare Blitz,201.3,0.19999999999999996,-1.35
Venusaur,Aerodactyl,Frenzy Plant,111,Dual Wingbeat,59.4,0,0.52
Venusaur,Snorlax,Frenzy Plant,54,Body Slam,63.9,0.7,0.11
Venusaur,Dragonite,Hyper Beam,27.7,Hurricane,85.2,0,-0.57
Venusaur,Meganium,Sludge Wave,113.5,Hyper Beam,52.9,0,0.61
Venusaur,Typhlosion,Hyper Beam,68.6,Eruption,187.1,0,-1.18
Venusaur,Typhlosion-Hisui,Frenzy Plant,52.7,Eruption,198.7,0,-1.46
Venusaur,Feraligatr,Frenzy Plant,198.8,Double-Edge,75.5,0,1.23
Venusaur,Ariados,Hyper Beam,83.4,Megahorn,78.1,0.7,0.26
Venusaur,Ampharos,Frenzy Plant,90.9,Hyper Beam,65.2,0.19999999999999996,0.32
Venusaur,Azumarill,Frenzy Plant,188.6,Play Rough,23.9,0.19999999999999996,1.71
Venusaur,Politoed,Frenzy Plant,167.3,Hyper Beam,55.5,0,1.12
Venusaur,Espeon,Frenzy Plant,102.9,Future Sight,170.3,0,-0.67
Venusaur,Umbreon,Frenzy Plant,65.3,Last Resort,50.3,0.19999999999999996,0.21
Venusaur,Slowking,Frenzy Plant,149.4,Future Sight,143.2,0.7,0.27
Venusaur,Slowking-Galar,Hyper Beam,50,Future Sight,152.3,0.7,-0.81
Venusaur,Forretress,Hyper Beam,45.3,Explosion,108.4,0.7,-0.42
Venusaur,Steelix,Frenzy Plant,128,Self-Destruct,83.9,0.7,0.65
Venusaur,Scizor,Hyper Beam,37.9,Bug Bite,76.1,0.19999999999999996,-0.32
Venusaur,Heracross,Hyper Beam,61.9,Megahorn,97.4,0,-0.36
Venusaur,Skarmory,Hyper Beam,42.9,Brave Bird,147.1,0,-1.04
Venusaur,Houndoom,Hyper Beam,73.3,Overheat,163.9,0,-0.91
Venusaur,Tyranitar,Frenzy Plant,157.7,Giga Impact,85.2,0.19999999999999996,0.78
Venusaur,Pelipper,Frenzy Plant,134.1,Ice Beam,69.7,0.19999999999999996,0.7
Venusaur,Gardevoir,Sludge Wave,109.1,Future Sight,163.9,0,-0.55
Venusaur,Sableye,Frenzy Plant,153.6,Foul Play,36.8,0.19999999999999996,1.23
Venusaur,Aggron,Frenzy Plant,140.7,Head Smash,112.3,0.19999999999999996,0.34
Venusaur,Medicham,Frenzy Plant,127.4,Zen Headbutt,166.5,0,-0.39
Venusaur,Manectric,Frenzy Plant,140.7,Thunderbolt,27.1,0,1.14
Venusaur,Sharpedo,Frenzy Plant,369.7,Giga Impact,79.4,0,2.9
Venusaur,Camerupt,Frenzy Plant,118.6,Eruption,183.2,0.7,-0.44
Venusaur,Torkoal,Hyper Beam,83.4,Eruption,120.6,1,-0.07
Venusaur,Altaria,Hyper Beam,58.7,Sky Attack,158.7,0,-1
Venusaur,Milotic,Frenzy Plant,134.1,Ice Beam,72.3,0,0.62
Venusaur,Castform,Frenzy Plant,124.8,Body Slam,48.4,0,0.76
Venusaur,Banette,Frenzy Plant,141,Poltergeist,83.9,0.19999999999999996,0.63
Venusaur,Chimecho,Frenzy Plant,100,Future Sight,136.8,0.19999999999999996,-0.31
Venusaur,Absol,Frenzy Plant,145.7,Giga Impact,83.9,0,0.62
Venusaur,Glalie,Frenzy Plant,106.5,Explosion,100.6,0,0.06
Venusaur,Torterra,Frenzy Plant,92.4,Headlong Rush,89,0.19999999999999996,0.09
Venusaur,Infernape,Hyper Beam,79.5,Flare Blitz,171.6,0,-0.92
Venusaur,Empoleon,Frenzy Plant,85.5,Steel Beam,89,0.19999999999999996,0.02
Venusaur,Luxray,Frenzy Plant,107.1,Psychic Fangs,90.3,0,0.17
Venusaur,Roserade,Hyper Beam,65.2,Hyper Beam,68.4,0,-0.03
Venusaur,Rampardos,Frenzy Plant,269.8,Head Smash,149,0.19999999999999996,1.27
Venusaur,Bastiodon,Frenzy Plant,77.8,Steel Roller,62.6,0.7,0.36
Venusaur,Lopunny,Frenzy Plant,101.4,Fake Out,23.9,0,0.78
Venusaur,Spiritomb,Frenzy Plant,103.2,Poltergeist,73.5,0.7,0.51
Venusaur,Garchomp,Frenzy Plant,85.8,Earthquake,83.9,0,0.02
Venusaur,Lucario,Frenzy Plant,62.1,Meteor Mash,44.5,0,0.18
Venusaur,Hippowdon,Frenzy Plant,194.5,Earthquake,75.5,0.7,1.4
Venusaur,Toxicroak,Hyper Beam,81,Gunk Shot,87.1,0,-0.06
Venusaur,Abomasnow,Sludge Wave,121.2,Ice Hammer,132.9,0.19999999999999996,-0.06
Venusaur,Weavile,Frenzy Plant,108.3,Knock Off,52.3,0,0.56
Venusaur,Rhyperior,Frenzy Plant,456.8,Rock Wrecker,132.3,0.7,3.46
Venusaur,Leafeon,Sludge Wave,175.7,Last Resort,69.7,0,1.06
Venusaur,Glaceon,Frenzy Plant,102.9,Ice Beam,127.7,0.19999999999999996,-0.19
Venusaur,Gliscor,Frenzy Plant,114.7,Earthquake,67.7,0,0.47
Venusaur,Mamoswine,Frenzy Plant,220.5,Icicle Crash,143.2,0,0.77
Venusaur,Gallade,Frenzy Plant,86,Giga Impact,81.3,0,0.05
Venusaur,Froslass,Frenzy Plant,124.8,Blizzard,71,0,0.54
Venusaur,Rotom,Frenzy Plant,135.2,Shadow Ball,46.5,0,0.89
Venusaur,Rotom-Heat,Hyper Beam,69.6,Overheat,158.7,0,-0.89
Venusaur,Rotom-Wash,Frenzy Plant,208,Hydro Pump,33.5,0,1.75
Venusaur,Rotom-Frost,Frenzy Plant,104,Blizzard,162.6,0,-0.59
Venusaur,Rotom-Fan,Hyper Beam,69.6,Hyper Voice,36.8,0,0.33
Venusaur,Rotom-Mow,Sludge Wave,134.4,Hyper Voice,36.8,0,0.98
Venusaur,Serperior,Sludge Wave,121.3,Giga Impact,58.7,0,0.63
Venusaur,Emboar,Hyper Beam,69.2,Flare Blitz,193.5,0.19999999999999996,-1.18
Venusaur,Samurott,Frenzy Plant,212.9,Ice Beam,76.1,0,1.37
Venusaur,Samurott-Hisui,Frenzy Plant,232.7,Giga Impact,73.5,0,1.59
Venusaur,Watchog,Frenzy Plant,136.3,Giga Impact,94.8,0,0.42
Venusaur,Liepard,Frenzy Plant,166.9,Psychic Fangs,73.5,0,0.93
Venusaur,Simisage,Sludge Wave,168,Giga Impact,69,0,0.99
Venusaur,Simisear,Hyper Beam,87.3,Flare Blitz,166.5,0,-0.79
Venusaur,Simipour,Frenzy Plant,261.3,Giga Impact,69,0,1.92
Venusaur,Excadrill,Frenzy Plant,103.8,Earthquake,85.8,0,0.18
Venusaur,Audino,Frenzy Plant,87.6,Giga Impact,77.4,0.19999999999999996,0.16
Venusaur,Conkeldurr,Frenzy Plant,106.7,Ice Punch,106.5,0.7,0.21
Venusaur,Whimsicott,Sludge Wave,323,Psychic,60.6,0,2.62
Venusaur,Krookodile,Frenzy Plant,212.9,Earthquake,78.1,0,1.35
Venusaur,Cofagrigus,Frenzy Plant,99.2,Hyper Beam,57.4,0.7,0.63
Venusaur,Garbodor,Hyper Beam,69,Explosion,111.6,0,-0.43
Venusaur,Zoroark,Frenzy Plant,151.1,Flamethrower,81.3,0,0.7
Venusaur,Zoroark-Hisui,Frenzy Plant,156.9,Hyper Voice,61.9,0,0.95
Venusaur,Reuniclus,Frenzy Plant,84.9,Future Sight,163.9,0.7,-0.58
Venusaur,Vanilluxe,Frenzy Plant,98.6,Ice Beam,113.5,0,-0.15
Venusaur,Emolga,Hyper Beam,104.6,Acrobatics,65.8,0,0.39
Venusaur,Chandelure,Frenzy Plant,55.6,Heat Wave,147.1,0,-0.91
Venusaur,Beartic,Frenzy Plant,97.1,Icicle Crash,143.2,0.19999999999999996,-0.4
Venusaur,Stunfisk,Frenzy Plant,151.1,Earth Power,47.1,0.7,1.25
Venusaur,Stunfisk-Galar,Frenzy Plant,85.3,Earthquake,61.9,0.7,0.44
Venusaur,Golurk,Frenzy Plant,201.2,Ice Punch,97.4,0.19999999999999996,1.1
Venusaur,Hydreigon,Hyper Beam,59.9,Draco Meteor,89,0,-0.29
Venusaur,Volcarona,Hyper Beam,55,Overheat,189.7,0,-1.35
Venusaur,Chesnaught,Sludge Wave,133.7,Body Press,23.9,0.19999999999999996,1.16
Venusaur,Delphox,Hyper Beam,61.3,Heat Wave,123.9,0,-0.63
Venusaur,Greninja,Frenzy Plant,244.9,Ice Beam,73.5,0,1.71
Venusaur,Diggersby,Frenzy Plant,211.3,Giga Impact,74.2,0,1.37
Venusaur,Talonflame,Hyper Beam,80.4,Brave Bird,176.1,0,-0.96
Venusaur,Vivillon,Hyper Beam,100,Hurricane,121.3,0,-0.21
Venusaur,Floette,Sludge Wave,1274.7,Moonblast,3.9,0.5,12.86
Venusaur,Floette-Eternal,Sludge Wave,96.6,Moonblast,32.9,0,0.64
Venusaur,Florges,Sludge Wave,79.7,Hyper Beam,63.9,0,0.16
Venusaur,Pangoro,Frenzy Plant,105.9,Giga Impact,80.6,0.19999999999999996,0.31
Venusaur,Furfrou,Frenzy Plant,100,Giga Impact,91,0,0.09
Venusaur,Meowstic,Frenzy Plant,109.4,Expanding Force,85.2,0,0.24
Venusaur,Meowstic-F,Frenzy Plant,109.4,Future Sight,127.7,0,-0.18
Venusaur,Aegislash,Frenzy Plant,38.5,Poltergeist,62.6,0.19999999999999996,-0.18
Venusaur,Aegislash-Blade,Frenzy Plant,85.9,Poltergeist,97.4,0.19999999999999996,-0.06
Venusaur,Aromatisse,Sludge Wave,109.1,Hyper Beam,58.7,1,0.8
Venusaur,Slurpuff,Sludge Wave,138.9,Flamethrower,64.5,0,0.74
Venusaur,Clawitzer,Frenzy Plant,206.8,Ice Beam,81.3,0.19999999999999996,1.32
Venusaur,Heliolisk,Frenzy Plant,105.8,Hyper Beam,93.5,0,0.12
Venusaur,Tyrantrum,Frenzy Plant,131.8,Head Smash,118.7,0,0.13
Venusaur,Aurorus,Frenzy Plant,148.5,Ice Beam,105.8,0.19999999999999996,0.49
Venusaur,Sylveon,Sludge Wave,82.4,Hyper Beam,63.2,0.19999999999999996,0.25
Venusaur,Hawlucha,Hyper Beam,85.6,Brave Bird,158.7,0,-0.73
Venusaur,Dedenne,Sludge Wave,169,Hyper Beam,51.6,0,1.17
Venusaur,Goodra,Hyper Beam,40,Draco Meteor,81.9,0,-0.42
Venusaur,Goodra-Hisui,Hyper Beam,21.3,Flash Cannon,51,0.19999999999999996,-0.24
Venusaur,Klefki,Frenzy Plant,58.3,Last Resort,56.8,0,0.02
Venusaur,Trevenant,Sludge Wave,64.4,Poltergeist,81.9,0.19999999999999996,-0.12
Venusaur,Gourgeist,Sludge Wave,77.9,Explosion,108.4,0,-0.31
Venusaur,Gourgeist-Small,Sludge Wave,83.8,Explosion,104.5,0,-0.21
Venusaur,Gourgeist-Large,Sludge Wave,72.7,Explosion,111.6,0,-0.39
Venusaur,Gourgeist-Jumbo,Sludge Wave,68.1,Explosion,116.1,0.19999999999999996,-0.42
Venusaur,Avalugg,Frenzy Plant,144.7,Ice Spinner,125.2,1,0.49
Venusaur,Avalugg-Hisui,Frenzy Plant,338.8,Mountain Gale,197.4,0.7,1.62
Venusaur,Noivern,Hyper Beam,68.8,Sky Attack,96.8,0,-0.28
Venusaur,Decidueye,Sludge Wave,57.5,Poltergeist,80,0,-0.23
Venusaur,Decidueye-Hisui,Sludge Wave,111.7,Giga Impact,75.5,0.19999999999999996,0.42
Venusaur,Incineroar,Hyper Beam,58.8,Flare Blitz,183.2,0.19999999999999996,-1.18
Venusaur,Primarina,Frenzy Plant,156.1,Hyper Beam,69,0.19999999999999996,0.93
Venusaur,Toucannon,Hyper Beam,74.2,Sky Attack,221.9,0.19999999999999996,-1.42
Venusaur,Crabominable,Frenzy Plant,108.7,Ice Hammer,170.3,0.7,-0.41
Venusaur,Lycanroc,Frenzy Plant,256,Stone Edge,77.4,0,1.79
Venusaur,Lycanroc-Midnight,Frenzy Plant,215,Stone Edge,77.4,0,1.38
Venusaur,Lycanroc-Dusk,Frenzy Plant,256,Giga Impact,100.6,0,1.55
Venusaur,Toxapex,Frenzy Plant,82.4,Gunk Shot,63.9,0.7,0.4
Venusaur,Mudsdale,Frenzy Plant,179.4,Earthquake,81.3,0.7,1.19
Venusaur,Araquanid,Frenzy Plant,76.2,Leech Life,45.2,0.7,0.52
Venusaur,Salazzle,Hyper Beam,95.1,Overheat,163.9,0,-0.69
Venusaur,Tsareena,Sludge Wave,122.4,Triple Axel,23.2,0,0.99
Venusaur,Oranguru,Frenzy Plant,77,Future Sight,132.9,0.19999999999999996,-0.5
Venusaur,Passimian,Frenzy Plant,116.6,Giga Impact,79.4,0,0.37
Venusaur,Mimikyu,Frenzy Plant,101.5,Giga Impact,65.2,0,0.36
Venusaur,Drampa,Hyper Beam,64.7,Draco Meteor,94.8,0.7,-0.09
Venusaur,Kommo-o,Hyper Beam,58.7,Clanging Scales,42.6,0,0.16
Venusaur,Corviknight,Hyper Beam,30.1,Brave Bird,152.3,0,-1.22
Venusaur,Flapple,Sludge Wave,179.3,Fly,90.3,0,0.89
Venusaur,Appletun,Sludge Wave,113.5,Draco Meteor,77.4,0.7,0.57
Venusaur,Sandaconda,Frenzy Plant,246.3,Earthquake,73.5,0,1.73
Venusaur,Polteageist,Frenzy Plant,91.9,Psychic,87.7,0,0.04
Venusaur,Hatterene,Sludge Wave,128.8,Psychic,131.6,1,0.27
Venusaur,Mr. Rime,Frenzy Plant,89,Future Sight,152.3,0,-0.63
Venusaur,Runerigus,Frenzy Plant,198.5,Self-Destruct,89.7,0.7,1.3
Venusaur,Alcremie,Sludge Wave,107.1,Psychic,76.1,0.19999999999999996,0.37
Venusaur,Morpeko,Frenzy Plant,156.4,Double-Edge,54.2,0,1.02
Venusaur,Dragapult,Frenzy Plant,52.8,Phantom Force,71.6,0,-0.19
Venusaur,Wyrdeer,Frenzy Plant,96.6,Giga Impact,108.4,0.19999999999999996,-0.06
Venusaur,Kleavor,Frenzy Plant,124.8,Giga Impact,85.8,0,0.39
Venusaur,Basculegion,Frenzy Plant,176.4,Wave Crash,60.6,0,1.16
Venusaur,Basculegion-F,Frenzy Plant,176.4,Hyper Beam,59.4,0,1.17
