pokemon,type1,type2,ability
Mega Raichu X,Electric,,Electric Surge
Mega Raichu Y,Electric,,No Guard
Mega Clefable,Fairy,Flying,Magic Bounce
Mega Victreebel,Grass,Poison,Innards Out
Mega Starmie,Water,Psychic,Huge Power
Mega Dragonite,Dragon,Flying,Multiscale
Mega Meganium,Grass,Fairy,Mega Sol
Mega Feraligatr,Water,Dragon,Dragonize
Mega Skarmory,Steel,Flying,Stalwart
Mega Chimecho,Psychic,Steel,Levitate
Mega Staraptor,Fighting,Flying,Contrary
Mega Froslass,Ice,Ghost,Snow Warning
Mega Emboar,Fire,Fighting,Mold Breaker
Mega Excadrill,Ground,Steel,Piercing Drill
Mega Scolipede,Bug,Poison,Shell Armor
Mega Scrafty,Dark,Fighting,Intimidate
Mega Eelektross,Electric,,Eelevate
Mega Chandelure,Ghost,Fire,Infiltrator
Mega Golurk,Ground,Ghost,Unseen Fist
Mega Chesnaught,Grass,Fighting,Bulletproof
Mega Delphox,Fire,Psychic,Levitate
Mega Greninja,Water,Dark,Protean
Mega Pyroar,Fire,Normal,Fire Mane
Mega Floette,Fairy,,Fairy Aura
Mega Meowstic,Psychic,,Trace
Mega Malamar,Dark,Psychic,Contrary
Mega Barbaracle,Rock,Fighting,Tough Claws
Mega Dragalge,Poison,Dragon,Regenerator
Mega Hawlucha,Fighting,Flying,No Guard
Mega Crabominable,Fighting,Ice,Iron Fist
Mega Drampa,Normal,Dragon,Berserk
Mega Falinks,Fighting,,Defiant
Mega Scovillain,Grass,Fire,Spicy Spray
Mega Glimmora,Rock,Poison,Adaptability
