name,type,category,pp,power,accuracy,effect
Accelerock,Rock,Physical,20,40,100,
Acid Armor,Poison,Status,20,--,101,Boosts the user's Defense stat by 2 stages.
Acid Spray,Poison,Special,20,40,100,Lowers the target's Sp. Def stat by 2 stages.
Acrobatics,Flying,Physical,16,55,100,This move's power is doubled if the user isn't holding an item.
Acupressure,Normal,Status,20,--,101,Boosts the Attack Defense Sp. Atk Sp. Def Speed accuracy or evasiveness of the user or an ally by 2 stages.
Aerial Ace,Flying,Physical,20,60,101,This move never misses.
After You,Normal,Status,16,--,101,Makes the target move immediately after the user.
Agility,Psychic,Status,20,--,101,Boosts the user's Speed stat by 2 stages.
Air Cutter,Flying,Special,20,60,95,This move has a 1-stage Critical-Hit Ratio Boost.
Air Slash,Flying,Special,16,75,95,Has a 30% chance of making the target flinch.
Alluring Voice,Fairy,Special,12,80,100,Confuses the target if its stats were boosted during the turn this move is used.
Ally Switch,Psychic,Status,16,--,101,The user switches spots with one of its allies. With each consecutive use this move's chance of success becomes 1/3 of what it was before.
Amnesia,Psychic,Status,20,--,101,Boosts the user's Sp. Def stat by 2 stages.
Ancient Power,Rock,Special,8,60,100,Has a 10% chance of boosting the user's Attack Defense Sp. Atk Sp. Def and Speed stats by 1 stage.
Apple Acid,Grass,Special,12,90,100,Lowers the target's Sp. Def stat by 1 stage.
Aqua Cutter,Water,Physical,20,70,100,This move has a 1-stage Critical-Hit Ratio Boost.
Aqua Jet,Water,Physical,20,40,100,
Aqua Ring,Water,Status,20,--,101,The user gains the Aqua Ring status.
Aqua Step,Water,Physical,12,80,100,Boosts the user's Speed stat by 1 stage.
Aqua Tail,Water,Physical,12,90,90,
Armor Cannon,Fire,Special,8,120,100,Lowers the user's Defense and Sp. Def stats by 1 stage.
Aromatic Mist,Fairy,Status,20,--,101,Boosts an ally's Sp. Def stat by 1 stage.
Assurance,Dark,Physical,12,60,100,This move's power is doubled if the target has already taken damage during the turn this move is used.
Attract,Normal,Status,16,--,100,Gives the target the Infatuated status. This move will fail against a target that is the same gender as the user or whose gender is unknown.
Aura Sphere,Fighting,Special,20,80,101,This move never misses.
Aura Wheel,Electric,Physical,12,110,100,Boosts the user's Speed stat by 1 stage. This move's type depends on Morpeko's form.
Aurora Veil,Ice,Status,20,--,101,Gives the user's side the Aurora Veil status for 5 turns. This move can be used only in snow.
Avalanche,Ice,Physical,12,60,100,This move's power is doubled if the target has already dealt damage to the user with a move in the same turn.
Axe Kick,Fighting,Physical,12,120,90,Has a 30% chance of confusing the target. If this move misses or fails the user takes damage equal to 1/2 of its max HP.
Baby-Doll Eyes,Fairy,Status,20,--,100,Lowers the target's Attack stat by 1 stage.
Baneful Bunker,Poison,Status,8,--,101,The user protects itself from incoming moves for the turn. Any attackers that use contact moves against the user during this turn become poisoned. With each consecutive use this move's chance of success becomes 1/3 of what it was before.
Baton Pass,Normal,Status,20,--,101,The user switches out of battle to be replaced by another party Pokémon. If the user had any stat changes a substitute or other such effects they will be passed on to the Pokémon switching in.
Beak Blast,Flying,Physical,8,120,100,If the user is hit by a contact move before it uses this move the attacker will be burned.
Beat Up,Dark,Physical,12,--,100,The target is attacked as many times as the number of Pokémon in the user's party. Pokémon that have fainted or have a status condition are not counted. This move's power is calculated based on the Attack stats of the party Pokémon.
Belch,Poison,Special,12,120,90,This move fails unless the user has eaten a Berry during the battle.
Belly Drum,Normal,Status,12,--,101,The user loses 1/2 of its max HP to boost its Attack stat to its sixth stage. This move fails if the user doesn't have enough remaining HP.
Bind,Normal,Physical,20,15,85,Gives the target the Bound status.
Bite,Dark,Physical,20,60,100,Has a 30% chance of making the target flinch.
Bitter Blade,Fire,Physical,12,90,100,The user's HP is restored by 1/2 of the damage dealt by this move.
Bitter Malice,Ghost,Special,12,75,100,Lowers the target's Attack stat by 1 stage.
Blast Burn,Fire,Special,8,150,90,The user gains the Recharging status on the turn after this move is used.
Blaze Kick,Fire,Physical,12,85,90,Has a 10% chance of burning the target. This move has a 1-stage Critical-Hit Ratio Boost.
Blizzard,Ice,Special,8,110,70,Has a 10% chance of freezing targets. This move never misses in snow.
Block,Normal,Status,8,--,101,Gives the target the Can't Escape status.
Body Press,Fighting,Physical,12,80,100,The damage dealt by this move is calculated using the user's Defense stat instead of its Attack stat.
Body Slam,Normal,Physical,16,85,100,Has a 30% chance of paralyzing the target. If the target has the Minimized status this move's power is doubled and it will be sure to hit.
Bone Rush,Ground,Physical,12,30,90,The user attacks 2 to 5 times in a row.
Boomburst,Normal,Special,12,140,100,
