name,type1,type2,abilities,moves,hp,attack,defense,sp_atk,sp_def,speed,bst
Venusaur,Grass,Poison,Overgrow|Chlorophyll,Acid Spray|Amnesia|Body Slam|Bulldoze|Bullet Seed|Charm|Curse|Double-Edge|Earth Power|Earthquake|Endure|Energy Ball|Facade|Frenzy Plant|Giga Drain|Giga Impact|Grass Knot|Grassy Glide|Grassy Terrain|Growth|Helping Hand|Hyper Beam|Ingrain|Knock Off|Leaf Storm|Leech Seed|Light Screen|Outrage|Petal Blizzard|Petal Dance|Poison Jab|Poison Powder|Power Whip|Protect|Rest|Roar|Round|Scary Face|Seed Bomb|Sleep Powder|Sleep Talk|Sludge Bomb|Sludge Wave|Snore|Solar Beam|Stomping Tantrum|Substitute|Sunny Day|Sweet Scent|Swords Dance|Synthesis|Terrain Pulse|Toxic|Trailblaze|Venoshock|Weather Ball|Worry Seed,80,82,83,100,100,80,525
Charizard,Fire,Flying,Blaze|Solar Power,Acrobatics|Aerial Ace|Air Cutter|Air Slash|Ancient Power|Beat Up|Belly Drum|Bite|Blast Burn|Body Slam|Breaking Swipe|Brick Break|Brutal Swing|Bulldoze|Counter|Crunch|Dig|Double-Edge|Dragon Cheer|Dragon Claw|Dragon Dance|Dragon Pulse|Dragon Rush|Dragon Tail|Earthquake|Endure|Facade|Fire Blast|Fire Fang|Fire Punch|Fire Spin|Flame Charge|Flamethrower|Flare Blitz|Fling|Fly|Focus Blast|Focus Punch|Giga Impact|Heat Crash|Heat Wave|Helping Hand|Hurricane|Hyper Beam|Inferno|Iron Tail|Mega Kick|Outrage|Overheat|Protect|Rest|Roar|Rock Slide|Rock Tomb|Roost|Round|Sandstorm|Scale Shot|Scary Face|Scorching Sands|Shadow Claw|Sleep Talk|Snore|Solar Beam|Steel Wing|Substitute|Sunny Day|Swords Dance|Temper Flare|Thunder Punch|Weather Ball|Will-O-Wisp,78,84,78,109,85,100,534
Blastoise,Water,,Torrent|Rain Dish,Aqua Jet|Aqua Ring|Aqua Tail|Aura Sphere|Avalanche|Bite|Blizzard|Body Press|Bulldoze|Brick Break|Body Slam|Chilling Water|Crunch|Dark Pulse|Dig|Dive|Double-Edge|Dragon Pulse|Earthquake|Endure|Facade|Fake Out|Flail|Flash Cannon|Fling|Flip Turn|Focus Blast|Focus Punch|Giga Impact|Gyro Ball|Haze|Helping Hand|Hydro Cannon|Hydro Pump|Hyper Beam|Ice Beam|Ice Punch|Ice Spinner|Icy Wind|Iron Defense|Iron Head|Iron Tail|Life Dew|Liquidation|Mega Kick|Mirror Coat|Mud Shot|Muddy Water|Outrage|Protect|Rain Dance|Rapid Spin|Rest|Roar|Rock Slide|Rock Tomb|Round|Scary Face|Shell Smash|Sleep Talk|Smack Down|Snore|Substitute|Surf|Terrain Pulse|Water Pulse|Water Spout|Waterfall|Wave Crash|Weather Ball|Whirlpool|Yawn|Zen Headbutt,79,83,100,85,105,78,530
Beedrill,Bug,Poison,Swarm|Sniper,Acrobatics|Aerial Ace|Agility|Air Cutter|Assurance|Attract|Baton Pass|Brick Break|Brutal Swing|Bug Bite|Bug Buzz|Cross Poison|Double Hit|Double-Edge|Drill Run|Dual Wingbeat|Electroweb|Endeavor|Endure|Facade|Fell Stinger|Focus Energy|Giga Drain|Giga Impact|Hyper Beam|Iron Defense|Knock Off|Lunge|Payback|Pin Missile|Poison Jab|Pollen Puff|Pounce|Protect|Rest|Round|Screech|Skitter Smack|Sleep Talk|Sludge Bomb|Snore|Solar Beam|String Shot|Substitute|Sunny Day|Swords Dance|Thief|Throat Chop|Toxic|Toxic Spikes|U-turn|Venoshock|X-Scissor,65,90,40,45,80,75,395
Pidgeot,Normal,Flying,Keen Eye|Tangled Feet|Big Pecks,Aerial Ace|Agility|Air Slash|Attract|Brave Bird|Dual Wingbeat|Endure|Facade|Feather Dance|Fly|Giga Impact|Heat Wave|Hurricane|Hyper Beam|Quick Attack|Protect|Rain Dance|Rest|Roost|Round|Sky Attack|Sleep Talk|Snore|Steel Wing|Substitute|Sunny Day|Tailwind|Thief|U-turn|Uproar|Whirlwind,83,80,75,70,70,101,479
Arbok,Poison,,Intimidate|Shed Skin|Unnerve,Acid Spray|Beat Up|Belch|Bite|Body Slam|Breaking Swipe|Brutal Swing|Bulldoze|Coil|Crunch|Dark Pulse|Dig|Double-Edge|Dragon Tail|Earthquake|Endure|Facade|Fire Fang|Gastro Acid|Giga Drain|Giga Impact|Glare|Gunk Shot|Haze|Hyper Beam|Ice Fang|Iron Tail|Knock Off|Lash Out|Leech Life|Mud Shot|Mud-Slap|Pain Split|Payback|Poison Fang|Poison Jab|Protect|Psychic Fangs|Rain Dance|Rest|Rock Slide|Rock Tomb|Round|Scale Shot|Scary Face|Screech|Seed Bomb|Skitter Smack|Sleep Talk|Sludge Bomb|Sludge Wave|Snarl|Snore|Spit Up|Spite|Stockpile|Stomping Tantrum|Substitute|Sucker Punch|Sunny Day|Swallow|Switcheroo|Thief|Throat Chop|Thunder Fang|Toxic|Toxic Spikes|Trailblaze|Venoshock|Wrap,60,95,69,65,79,80,448
Pikachu,Electric,,Static|Lightning Rod,Agility|Alluring Voice|Body Slam|Brick Break|Charge|Charge Beam|Charm|Dig|Discharge|Double Team|Draining Kiss|Eerie Impulse|Electric Terrain|Electro Ball|Electroweb|Encore|Endeavor|Endure|Facade|Fake Out|Fake Tears|Feint|Flail|Fling|Focus Punch|Grass Knot|Helping Hand|Iron Tail|Knock Off|Light Screen|Mega Kick|Nasty Plot|Nuzzle|Play Rough|Protect|Quick Attack|Rain Dance|Reflect|Rest|Reversal|Rising Voltage|Round|Sleep Talk|Snore|Substitute|Surf|Sweet Kiss|Thief|Thunder|Thunder Punch|Thunder Wave|Thunderbolt|Tickle|Trailblaze|Upper Hand|Volt Switch|Volt Tackle|Wild Charge|Wish|Zap Cannon,35,55,40,50,50,90,320
Raichu,Electric,,Static|Lightning Rod|Surge Surfer,Agility|Alluring Voice|Body Slam|Brick Break|Brutal Swing|Charge|Charge Beam|Charm|Dazzling Gleam|Dig|Discharge|Double Team|Drain Punch|Draining Kiss|Eerie Impulse|Electric Terrain|Electro Ball|Electroweb|Encore|Endeavor|Endure|Facade|Fake Out|Fake Tears|Feint|Flail|Fling|Focus Blast|Focus Punch|Giga Impact|Grass Knot|Helping Hand|Hyper Beam|Iron Tail|Knock Off|Light Screen|Mega Kick|Nasty Plot|Nuzzle|Play Rough|Protect|Quick Attack|Rain Dance|Reflect|Rest|Reversal|Rising Voltage|Round|Sleep Talk|Snore|Substitute|Surf|Sweet Kiss|Thief|Thunder|Thunder Punch|Thunder Wave|Thunderbolt|Tickle|Trailblaze|Upper Hand|Volt Switch|Volt Tackle|Wild Charge|Wish|Zap Cannon,60,90,55,90,80,110,485
Clefable,Fairy,,Cute Charm|Magic Guard|Unaware,After You|Air Slash|Alluring Voice|Amnesia|Baton Pass|Blizzard|Body Slam|Bounce|Brick Break|Calm Mind|Charge Beam|Charm|Chilling Water|Copycat|Cosmic Power|Dazzling Gleam|Dig|Double-Edge|Drain Punch|Draining Kiss|Dual Wingbeat|Encore|Endeavor|Endure|Facade|Fake Tears|Fire Blast|Fire Punch|Flamethrower|Fling|Focus Blast|Focus Punch|Follow Me|Future Sight|Giga Impact|Grass Knot|Gravity|Heal Pulse|Healing Wish|Helping Hand|Hyper Beam|Hyper Voice|Ice Beam|Ice Punch|Icy Wind|Imprison|Knock Off|Life Dew|Light Screen|Meteor Beam|Meteor Mash|Misty Explosion|Misty Terrain|Moonblast|Moonlight|Mystical Fire|Night Shade|Play Rough|Protect|Psych Up|Psychic|Psyshock|Rain Dance|Reflect|Rest|Round|Safeguard|Shadow Ball|Sing|Skill Swap|Sleep Talk|Snore|Solar Beam|Stealth Rock|Stored Power|Substitute|Sunny Day|Sweet Kiss|Thief|Thunder|Thunder Punch|Thunder Wave|Thunderbolt|Tickle|Tri Attack|Trick|Uproar|Water Pulse|Wish|Wonder Room|Zen Headbutt,95,70,73,95,90,60,483
Ninetales,Fire,,Flash Fire|Drought|Snow Cloak|Snow Warning,Agility|Attract|Baby-Doll Eyes|Baton Pass|Body Slam|Burning Jealousy|Calm Mind|Charm|Confuse Ray|Dark Pulse|Dig|Disable|Double-Edge|Encore|Endure|Energy Ball|Extrasensory|Facade|Fake Tears|Fire Blast|Fire Spin|Flail|Flame Charge|Flamethrower|Flare Blitz|Foul Play|Giga Impact|Healing Wish|Heat Wave|Helping Hand|Hex|Howl|Hyper Beam|Hypnosis|Imprison|Inferno|Iron Tail|Memento|Mystical Fire|Nasty Plot|Night Shade|Overheat|Pain Split|Payback|Power Swap|Protect|Psych Up|Psyshock|Quick Attack|Rest|Roar|Round|Safeguard|Scorching Sands|Shadow Ball|Sleep Talk|Snarl|Snore|Solar Beam|Spite|Stored Power|Substitute|Sunny Day|Tail Slap|Weather Ball|Will-O-Wisp|Zen Headbutt,73,76,75,81,100,100,505
